archivo_original,patron,tamano_patron,tiempo_busqueda_ms,ocurrencias
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
dna,CGAT,4,17,215930
proteins,ALA,3,99,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,96,1070469
proteins,ALA,3,98,1070469
proteins,ALA,3,98,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,96,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,98,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,96,1070469
proteins,ALA,3,98,1070469
proteins,ALA,3,96,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,96,1070469
proteins,ALA,3,97,1070469
proteins,ALA,3,97,1070469
proteins,GLY,3,19,239529
proteins,GLY,3,18,239529
proteins,GLY,3,18,239529
proteins,GLY,3,17,239529
proteins,GLY,3,17,239529
proteins,GLY,3,18,239529
proteins,GLY,3,18,239529
proteins,GLY,3,19,239529
proteins,GLY,3,19,239529
proteins,GLY,3,18,239529
proteins,GLY,3,17,239529
proteins,GLY,3,17,239529
proteins,GLY,3,18,239529
proteins,GLY,3,18,239529
proteins,GLY,3,17,239529
proteins,GLY,3,17,239529
proteins,GLY,3,17,239529
proteins,GLY,3,17,239529
proteins,GLY,3,18,239529
proteins,GLY,3,18,239529
proteins,GLY,3,17,239529
proteins,GLY,3,18,239529
proteins,GLY,3,18,239529
proteins,GLY,3,17,239529
proteins,GLY,3,17,239529
proteins,GLY,3,17,239529
proteins,GLY,3,17,239529
proteins,GLY,3,17,239529
proteins,GLY,3,17,239529
proteins,GLY,3,17,239529
