archivo_original,patron,tamano_patron,tiempo_busqueda_ms,ocurrencias
sources,SiS_LVDSDesStruct  SiS310_PanelType06_2[]=,42,0,1
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,ATCG,4,0,217359
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,GCTA,4,0,1058013
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,TACG,4,0,177831
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
dna,CGAT,4,0,215930
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,ALA,3,0,1070469
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,GLY,3,0,239529
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,VAL,3,0,631409
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
proteins,LEU,3,0,0
